# repnum maxrepnum
754 1000
# trueest_gibbs trueest_isamp
 6.5636 6.95571
# runtime var_gibbs var_isamp mean_gibbs mean_isamp mean_nsamp_gibbs mean_effsamp_isamp mean_nitt_gibbs mean_nitt_isamp
0.01 0.746148 12.3982 5.84007 9.2389 7265.83 1.46825 8265.83 86.1485
0.0141254 0.552114 9.86611 5.93342 8.96189 10926.2 1.55078 11926.2 118.905
0.0199526 0.461455 8.78032 5.99353 8.79452 15455.2 1.56031 16455.2 158.249
0.0281838 0.370711 8.9969 6.06952 8.89553 21961.6 1.63815 22961.6 229.955
0.0398107 0.276751 7.73871 6.14684 8.60932 30568.2 1.6882 31568.2 315.025
0.0562341 0.205082 6.88202 6.2172 8.49766 43656.6 1.76286 44656.6 449.907
0.0794328 0.134985 6.3038 6.3036 8.48784 61730.8 1.85231 62730.8 631.044
0.112202 0.0957477 5.80712 6.3705 8.2887 87411.4 1.89564 88411.4 892.79
0.158489 0.0701571 4.98846 6.43884 8.09189 123359 2.09509 124359 1254.1
0.223872 0.0529069 4.3474 6.47437 7.90547 173782 2.12949 174782 1768.05
0.316228 0.032763 3.70225 6.51069 7.93219 246544 2.28811 247544 2500.67
0.446684 0.0251097 3.28186 6.53242 7.74771 348828 2.42983 349828 3525.59
0.630957 0.0193529 2.78904 6.55636 7.68229 493706 2.61256 494706 4981.09
0.891251 0.0156231 2.43744 6.57192 7.47174 700491 2.79272 701491 7031.56
1.25893 0.0129741 2.15172 6.5817 7.43319 991266 3.0197 992266 9933.23
1.77828 0.0094791 2.0967 6.57292 7.33838 1.4034e+06 3.40464 1.4044e+06 14042.9
2.51189 0.00710944 1.83918 6.5791 7.21869 1.98667e+06 3.75544 1.98767e+06 19821.8
3.54813 0.00548038 1.49068 6.57533 7.1913 2.81166e+06 3.91928 2.81266e+06 28013.6
5.01187 0.00367299 1.45437 6.56561 7.13921 3.97916e+06 4.30243 3.98016e+06 39571.2
7.07946 0.00320766 1.1165 6.56899 7.05538 5.62453e+06 4.83232 5.62553e+06 55866.3
10 0.00222799 1.12485 6.5636 6.95571 7.94339e+06 5.14332 7.94439e+06 78923.1
